episode,time,theta1,theta2,omega1,omega2,kinetic_energy,potential_energy
0,8.989999999999672,10.411996358996165,10.678689347601034,3.6225480837843875,4.514925233713679,16.753702242677228,0.0
0,8.991999999999672,10.419163125154085,10.687841042528307,3.5440326285225354,4.636697168162654,17.029563950639965,0.0
0,8.993999999999673,10.426171757941239,10.69723585557409,3.4644198345250263,4.758048139324869,17.32061344299163,0.0
0,8.995999999999674,10.433020093433893,10.706872974220337,3.38374046316657,4.879007899635059,17.62720880338601,0.0
0,8.997999999999674,10.439706029242073,10.716751647526845,3.3020252694244,4.999608279312732,17.949726913244852,0.0
0,8.999999999999675,10.446227524392258,10.726871190316043,3.2193048973424814,5.1198832157809795,18.288564082644534,0.0
0,9.001999999999676,10.45258259900096,10.737230987417954,3.1356097755085433,5.239868784481432,18.64413677142383,0.0
0,9.003999999999676,10.45876933373949,10.747830497978475,3.0509700127841635,5.35960323144535,19.01688240871382,0.0
0,9.005999999999677,10.464785869090603,10.75866925983488,2.9654152945100067,5.479127008000663,19.407260319358087,0.0
0,9.007999999999678,10.47063040439822,10.769746893963195,2.878974779387921,5.598482808014571,19.815752765993224,0.0
0,9.009999999999678,10.476301196711725,10.781063109002943,2.7916769972191062,5.717715608091122,20.242866115905557,0.0
0,9.011999999999679,10.48179655942674,10.792617705865613,2.7035497476532,5.83687271116308,20.689132142177964,0.0
0,9.01399999999968,10.487114860724507,10.804410582434077,2.6146200000770854,5.956003793937462,21.15510946910027,0.0
0,9.01599999999968,10.492254521812274,10.816441738361153,2.5249137947447746,6.075160958674362,21.641385172346823,0.0
0,9.017999999999681,10.497214014967263,10.828711279976478,2.4344561452210716,6.1943987897992905,22.148576545035777,0.0
0,9.019999999999682,10.50199186138685,10.841219425311868,2.3432709421821385,6.313774415870201,22.67733304148613,0.0
0,9.021999999999682,10.50658662884774,10.853966509256418,2.2513808585858293,6.433347577441714,23.22833841129092,0.0
0,9.023999999999683,10.510996929176827,10.866952988853694,2.1588072561939695,6.553180701390912,23.80231303723901,0.0
0,9.025999999999684,10.515221415536413,10.880179448754525,2.065570093397922,6.673338982291315,24.40001649165439,0.0
0,9.027999999999684,10.519258779526329,10.89364660684011,1.9716878342680375,6.793890471444381,25.022250326891665,0.0
0,9.029999999999685,10.523107748105273,10.907355320031343,1.8771773587172618,6.914906174200799,25.669861117040522,0.0
0,9.031999999999686,10.526767080333492,10.921306590301645,1.7820538736394975,7.036460156227006,26.34374376936186,0.0
0,9.033999999999686,10.530235563938565,10.935501570911818,1.686330824854674,7.158629659395228,27.04484512561404,0.0
0,9.035999999999687,10.533512011705726,10.949941572886887,1.5900198096651468,7.281495227997688,27.774167875240344,0.0
0,9.037999999999688,10.536595257693739,10.964628071756307,1.4931304898024644,7.405140846006759,28.532774804387724,0.0
0,9.039999999999688,10.539484153276836,10.979562714580334,1.3956705045201099,7.52965408612194,29.32179340692012,0.0
0,9.041999999999689,10.542177563012787,10.99474732728692,1.2976453835670847,7.655126271360599,30.142420885984098,0.0
0,9.04399999999969,10.544674360336547,11.010183922344964,1.19905845975977,7.781652649961035,30.995929577283533,0.0
0,9.04599999999969,10.54697342307841,11.025874706801341,1.099910780856112,7.909332584371615,31.883672828023037,0.0
0,9.047999999999691,10.549073628804953,11.041822090710614,1.000201020427769,8.038269755096445,32.80709136848151,0.0
0,9.049999999999692,10.55097384998048,11.058028695987948,0.8999253874235514,8.168572380152888,33.767720216363024,0.0
0,9.051999999999692,10.552672948946011,11.074497365717148,0.799077534122694,8.300353450865737,34.76719615741918,0.0
0,9.053999999999693,10.554169772712346,11.091231173947188,0.6976484621909834,8.433730984671888,35.80726584930604,0.0
0,9.055999999999694,10.555463147563113,11.10823343601187,0.5956264265787236,8.568828295531915,36.88979459917366,0.0
0,9.057999999999694,10.556551873463269,11.12550771940833,0.4929968370396958,8.70577428243324,38.01677586900356,0.0
0,9.059999999999695,10.557434718268114,11.143057855270916,0.3897421571081174,8.844703736313798,39.19034156609528,0.0
