episode,time,sin_theta1,cos_theta1,sin_theta2,cos_theta2,omega1,omega2
2,9.82599999999995,0.12586409952706817,-0.992047493041659,0.8484765207846,-0.5292330239859,3.95045434730946,-4.258952019007211
2,9.827999999999951,0.11803646412689307,-0.9930092613548076,0.852997879233337,-0.5219143780577704,3.9360730047692414,-4.343592906641788
2,9.829999999999952,0.11023005992928214,-0.9939060991300873,0.8575430883402877,-0.514412141808299,3.9217175552848857,-4.4280118572660285
2,9.831999999999953,0.10244537279087139,-0.9947386317991975,0.8621077718076086,-0.5067249646395175,3.907409990832548,-4.51221589832312
2,9.833999999999952,0.09468283436980938,-0.9955074891108049,0.8666874653752447,-0.4988515183513367,3.893172079336182,-4.596212909291808
2,9.835999999999954,0.08694282252794158,-0.9962133032693725,0.8712776169994907,-0.4907904992109045,3.879025354215628,-4.680011638052747
2,9.837999999999957,0.0792256617958367,-0.9968567071114142,0.8758735869939142,-0.4825406300058206,3.864991105221634,-4.7636217167219
2,9.839999999999955,0.07153162389659071,-0.9974383323207088,0.8804706481270704,-0.47410066208211166,3.8510903705582678,-4.8470536769996215
2,9.841999999999956,0.06386092832412772,-0.9979588076837543,0.8850639856713043,-0.46546937736829186,3.8373439304164094,-4.930318965155493
2,9.843999999999957,0.05621374297175227,-0.9984187573864515,0.8896486973968425,-0.4566455903872294,3.8237723018755787,-5.013429956635264
2,9.845999999999956,0.04859018480655259,-0.998818799352748,0.8942197935053116,-0.4476281502579099,3.8103957352041107,-5.096399970353559
2,9.847999999999958,0.04099032058527225,-0.9991595436256997,0.898772196496725,-0.43841594268964745,3.7972342116345317,-5.179243282827883
2,9.84999999999996,0.03341416760725438,-0.9994415907911349,0.9033007409639561,-0.4290078919716605,3.7843074425745726,-5.261975142157553
2,9.85199999999996,0.025861694500027885,-0.9996655304438516,0.9078001733086387,-0.4194029629614047,3.7716348702547293,-5.344611781932599
2,9.85399999999996,0.01833282203317709,-0.999831939696017,0.9122651513724311,-0.40960016307545,3.759235669901045,-5.427170435275457
2,9.85599999999996,0.010827423956128951,-0.9999413817271862,0.9166902439775315,-0.3995985442871554,3.7471287533585382,-5.509669349016349
2,9.85799999999996,0.0033453278555889065,-0.9999944043751138,0.9210699303703244,-0.389397205135843,3.735332774154358,-5.592127798114689
2,9.859999999999962,-0.0041136839715843814,-0.9999915387662948,0.9253985995620201,-0.3789952927526304,3.7238661340807084,-5.674566100546599
2,9.861999999999965,-0.011549873634204713,-0.9999332979849376,0.9296705495601442,-0.36839200490854784,3.7127469912056767,-5.757005632677647
2,9.863999999999963,-0.018963546755285637,-0.9998201757788548,0.9338799864847127,-0.3575865920910806,3.7019932693124247,-5.83946884525858
2,9.865999999999964,-0.026355051577198214,-0.999652645300538,0.9380210235629388,-0.34657835961573913,3.6916226688222196,-5.921979280281448
2,9.867999999999965,-0.03372477806723838,-0.9994311578814798,0.9420876799962926,-0.3353666697798143,3.681652679103081,-6.004561588735669
2,9.869999999999964,-0.04107315702724113,-0.9991561418376087,0.9460738796937367,-0.32395094406598224,3.6721005921754113,-6.087241549404553
2,9.871999999999966,-0.04840065921080944,-0.9988280013035072,0.9499734498649318,-0.3123306654040232,3.662983517829616,-6.170046088957179
2,9.873999999999969,-0.055707794451448155,-0.9984471150929103,0.9537801194672083,-0.3005053804994478,3.654318400104785,-6.253003303395417
2,9.875999999999967,-0.06299511080491609,-0.9980138355827921,0.9574875175000487,-0.2884747022385049,3.6461220350861367,-6.336142480998433
2,9.877999999999968,-0.07026319370873975,-0.9975284876181973,0.9610891711408148,-0.27623831217964956,3.6384110900894484,-6.419494127060943
2,9.879999999999969,-0.0775126651619106,-0.9969913674347926,0.9645785037154084,-0.26379596314224324,3.631202124137417,-6.503089990467515
2,9.88199999999997,-0.0847441829273855,-0.9964027415959722,0.9679488324974991,-0.25114748190401665,3.6245116097315986,-6.586963092288897
2,9.88399999999997,-0.0919584397600605,-0.9957628459411886,0.9711933663299106,-0.238292772019581,3.6183559559317473,-6.671147756641403
2,9.88599999999997,-0.09915616266253884,-0.9950718845420365,0.9743052030616924,-0.22523181677310664,3.6127515327057154,-6.755679643926669
2,9.887999999999971,-0.10633811217097959,-0.9943300286624719,0.9772773267943287,-0.2119646822792204,3.607714696551284,-6.840595786654603
2,9.889999999999972,-0.11350508167306639,-0.9935374157194033,0.9801026049304744,-0.19849152074710502,3.6032618173730953,-6.925934628034611
2,9.891999999999973,-0.12065789675998399,-0.9926941482397572,0.982773785018526,-0.1848125739238544,3.5994093066274218,-7.011736063517219
2,9.893999999999972,-0.12779741461414929,-0.9918002928099685,0.9852834913862604,-0.1709281767342673,3.596173646699299,-7.098041485450267
2,9.895999999999974,-0.134924523434206,-0.9908558790137203,0.9876242215566996,-0.15683876113551531,3.5935714215543157,-7.184893831105001
2,9.897999999999977,-0.142040141898681,-0.9898608983536032,0.9897883424392959,-0.14254486020643153,3.5916193486332304,-7.272337634186897
2,9.899999999999975,-0.1491452186694792,-0.9888153031522283,0.9917680862894749,-0.12804711249267897,3.5903343119684905,-7.360419079996063
2,9.901999999999976,-0.15624073193621513,-0.9877190054281814,0.9935555464295379,-0.11334626663063242,3.5897333966076985,-7.44918606456099
2,9.903999999999977,-0.1633276890022,-0.986571875742057,0.9951426727239213,-0.09844318627457416,3.589833924274444,-7.538688257789545
2,9.905999999999976,-0.17040712591270174,-0.985373742007657,0.9965212668018321,-0.08333885535374098,3.5906534902665044,-7.628977170804319
2,9.907999999999978,-0.17748010712584142,-0.9841243882632926,0.9976829770203623,-0.06803438368786142,3.5922100016609875,-7.720106227761789
2,9.90999999999998,-0.1845477252263635,-0.9828235533979508,0.9986192931613227,-0.05253101299213947,3.5945217167586634,-7.812130842163469
2,9.91199999999998,-0.19161110068211695,-0.981470929826955,0.9993215408552555,-0.036830123305223124,3.597607285758386,-7.905108497800484
